pair_name,disease1_name,disease1_id,disease2_name,disease2_id,RR_score
dyssomnias & sleep_disorders,dyssomnias,94,sleep_disorders,269,8861.622359
charcot_marie_tooth_disease & hereditary_sensory_and_motor_neuropathy,charcot_marie_tooth_disease,60,hereditary_sensory_and_motor_neuropathy,131,6496.751624
hair_diseases & hypotrichosis,hair_diseases,122,hypotrichosis,139,3858.711784
arthritis_rheumatoid & lung_diseases_obstructive,arthritis_rheumatoid,18,lung_diseases_obstructive,168,3604.926182
head_and_neck_neoplasms & neoplasms,head_and_neck_neoplasms,123,neoplasms,200,3102.625298
colitis_ulcerative & stomatognathic_diseases,colitis_ulcerative,65,stomatognathic_diseases,279,1709.13855
leukemia & stomatognathic_diseases,leukemia,154,stomatognathic_diseases,279,1709.13855
cerebellar_ataxia & spinocerebellar_degenerations,cerebellar_ataxia,57,spinocerebellar_degenerations,274,1290.353093
cerebellar_ataxia & spinocerebellar_ataxias,cerebellar_ataxia,57,spinocerebellar_ataxias,273,1286.491836
spinocerebellar_ataxias & spinocerebellar_degenerations,spinocerebellar_ataxias,273,spinocerebellar_degenerations,274,1286.491836
spastic_paraplegia_hereditary & spinocerebellar_ataxias,spastic_paraplegia_hereditary,270,spinocerebellar_ataxias,273,1286.491836
amino_acid_metabolism_inborn_errors & metabolism_inborn_errors,amino_acid_metabolism_inborn_errors,7,metabolism_inborn_errors,184,1282.304202
amino_acid_metabolism_inborn_errors & autoimmune_diseases,amino_acid_metabolism_inborn_errors,7,autoimmune_diseases,21,1282.304202
amino_acid_metabolism_inborn_errors & immunologic_deficiency_syndromes,amino_acid_metabolism_inborn_errors,7,immunologic_deficiency_syndromes,141,1282.304202
amyotrophic_lateral_sclerosis & motor_neuron_disease,amyotrophic_lateral_sclerosis,8,motor_neuron_disease,187,1247.481048
myocardial_infarction & neoplasms_connective_and_soft_tissue,myocardial_infarction,198,neoplasms_connective_and_soft_tissue,203,1189.148928
uveal_diseases & uveitis,uveal_diseases,291,uveitis,292,1177.96303
albuminuria & proteinuria,albuminuria,5,proteinuria,246,1103.097157
demyelinating_diseases & multiple_sclerosis,demyelinating_diseases,83,multiple_sclerosis,190,796.324655
albuminuria & glioma,albuminuria,5,glioma,114,753.178027
glioma & proteinuria,glioma,114,proteinuria,246,753.178027
endocrine_system_diseases & thyroid_diseases,endocrine_system_diseases,97,thyroid_diseases,284,674.553757
endocrine_system_diseases & goiter,endocrine_system_diseases,97,goiter,117,674.553757
goiter & thyroid_diseases,goiter,117,thyroid_diseases,284,674.553757
celiac_disease & malabsorption_syndromes,celiac_disease,55,malabsorption_syndromes,178,647.991227
celiac_disease & hair_diseases,celiac_disease,55,hair_diseases,122,464.319422
neoplasms_germ_cell_and_embryonal & ovarian_neoplasms,neoplasms_germ_cell_and_embryonal,205,ovarian_neoplasms,229,429.014586
malformations_of_cortical_development & spinocerebellar_degenerations,malformations_of_cortical_development,180,spinocerebellar_degenerations,274,316.918576
leukemia_b_cell & leukemia_lymphocytic_chronic_b_cell,leukemia_b_cell,155,leukemia_lymphocytic_chronic_b_cell,156,298.974288
leukemia_b_cell & precursor_cell_lymphoblastic_leukemia_lymphoma,leukemia_b_cell,155,precursor_cell_lymphoblastic_leukemia_lymphoma,243,298.974288
graves_disease & hyperthyroidism,graves_disease,121,hyperthyroidism,136,255.107047
asthma & lymphoma,asthma,19,lymphoma,172,239.011218
leukemia & precursor_cell_lymphoblastic_leukemia_lymphoma,leukemia,154,precursor_cell_lymphoblastic_leukemia_lymphoma,243,218.437525
leukemia_myeloid_acute & stomatognathic_diseases,leukemia_myeloid_acute,159,stomatognathic_diseases,279,218.278456
cranial_nerve_diseases & movement_disorders,cranial_nerve_diseases,75,movement_disorders,189,213.722861
hereditary_sensory_and_motor_neuropathy & peripheral_nervous_system_diseases,hereditary_sensory_and_motor_neuropathy,131,peripheral_nervous_system_diseases,239,209.572633
charcot_marie_tooth_disease & peripheral_nervous_system_diseases,charcot_marie_tooth_disease,60,peripheral_nervous_system_diseases,239,209.572633
dwarfism & leprosy,dwarfism,91,leprosy,153,174.085382
spastic_paraplegia_hereditary & spinocerebellar_degenerations,spastic_paraplegia_hereditary,270,spinocerebellar_degenerations,274,169.345804
leukemia & leukemia_myeloid_acute,leukemia,154,leukemia_myeloid_acute,159,167.845846
charcot_marie_tooth_disease & muscular_dystrophies,charcot_marie_tooth_disease,60,muscular_dystrophies,193,167.205729
hereditary_sensory_and_motor_neuropathy & muscular_dystrophies,hereditary_sensory_and_motor_neuropathy,131,muscular_dystrophies,193,167.205729
peripheral_nervous_system_diseases & polyneuropathies,peripheral_nervous_system_diseases,239,polyneuropathies,242,166.41065
abnormalities_multiple & intellectual_disability,abnormalities_multiple,0,intellectual_disability,146,162.86645
spondylarthropathies & spondylitis,spondylarthropathies,276,spondylitis,277,150.950407
bile_duct_diseases & cholestasis,bile_duct_diseases,27,cholestasis,61,147.360546
intellectual_disability & malformations_of_cortical_development,intellectual_disability,146,malformations_of_cortical_development,180,139.599814
craniofacial_abnormalities & spinocerebellar_degenerations,craniofacial_abnormalities,76,spinocerebellar_degenerations,274,123.589417
