FusionGID,FusionGene,Hgene,HGID,Tgene,TGID
hg2tg387836,A2M-CLEC2A,A2M,2,CLEC2A,387836
hg2tg5265,A2M-SERPINA1,A2M,2,SERPINA1,5265
hg65985tg196385,AACS-DNAH10,AACS,65985,DNAH10,196385
hg79719tg4088,AAGAB-SMAD3,AAGAB,79719,SMAD3,4088
hg22848tg54980,AAK1-C2orf42,AAK1,22848,C2orf42,54980
hg22848tg84641,AAK1-HIATL1,AAK1,22848,HIATL1,84641
hg22848tg27247,AAK1-NFU1,AAK1,22848,NFU1,27247
hg22848tg22976,AAK1-PAXIP1,AAK1,22848,PAXIP1,22976
hg22848tg54432,AAK1-YIPF1,AAK1,22848,YIPF1,54432
hg28971tg10648,AAMDC-SCGB1D1,AAMDC,28971,SCGB1D1,10648
hg14tg55139,AAMP-ANKZF1,AAMP,14,ANKZF1,55139
hg14tg57574,AAMP-MARCH4,AAMP,14,MARCH4,57574
hg16tg25839,AARS-COG4,AARS,16,COG4,25839
hg16tg23368,AARS-PPP1R13B,AARS,16,PPP1R13B,23368
hg16tg6483,AARS-ST3GAL2,AARS,16,ST3GAL2,6483
hg57505tg221409,AARS2-SPATS1,AARS2,57505,SPATS1,221409
hg80755tg1140,AARSD1-CHRNB1,AARSD1,80755,CHRNB1,1140
hg132949tg57545,AASDH-CC2D2A,AASDH,132949,CC2D2A,57545
hg132949tg339977,AASDH-LRRC66,AASDH,132949,LRRC66,339977
hg60496tg114769,AASDHPPT-CARD16,AASDHPPT,60496,CARD16,114769
hg60496tg834,AASDHPPT-CASP1,AASDHPPT,60496,CASP1,834
hg26574tg31,AATF-ACACA,AATF,26574,ACACA,31
hg26574tg9774,AATF-BCLAF1,AATF,26574,BCLAF1,9774
hg26574tg146754,AATF-DNAH2,AATF,26574,DNAH2,146754
hg26574tg9570,AATF-GOSR2,AATF,26574,GOSR2,9570
hg26574tg27328,AATF-PCDH11X,AATF,26574,PCDH11X,27328
hg26574tg6147,AATF-RPL23A,AATF,26574,RPL23A,6147
