FusionGID,FusionGene,Hgene,HGID,Tgene,TGID
hg1tg2243,A1BG-FGA,A1BG,1,FGA,2243
hg1tg3700,A1BG-ITIH4,A1BG,1,ITIH4,3700
hg2tg22948,A2M-CCT5,A2M,2,CCT5,22948
hg2tg5858,A2M-PZP,A2M,2,PZP,5858
hg2tg5265,A2M-SERPINA1,A2M,2,SERPINA1,5265
hg144568tg9584,A2ML1-RBM39,A2ML1,144568,RBM39,9584
hg22848tg54980,AAK1-C2orf42,AAK1,22848,C2orf42,54980
hg22848tg2339,AAK1-FNTA,AAK1,22848,FNTA,2339
hg22848tg56888,AAK1-KCMF1,AAK1,22848,KCMF1,56888
hg22848tg9355,AAK1-LHX2,AAK1,22848,LHX2,9355
hg22848tg27247,AAK1-NFU1,AAK1,22848,NFU1,27247
hg22848tg51602,AAK1-NOP58,AAK1,22848,NOP58,51602
hg22848tg64326,AAK1-RFWD2,AAK1,22848,RFWD2,64326
hg22848tg22934,AAK1-RPIA,AAK1,22848,RPIA,22934
hg22848tg164237,AAK1-WFDC13,AAK1,22848,WFDC13,164237
hg22848tg54432,AAK1-YIPF1,AAK1,22848,YIPF1,54432
hg14tg55139,AAMP-ANKZF1,AAMP,14,ANKZF1,55139
hg14tg57574,AAMP-MARCH4,AAMP,14,MARCH4,57574
hg16tg55125,AARS-CEP192,AARS,16,CEP192,55125
hg16tg25839,AARS-COG4,AARS,16,COG4,25839
hg16tg6483,AARS-ST3GAL2,AARS,16,ST3GAL2,6483
hg57505tg221409,AARS2-SPATS1,AARS2,57505,SPATS1,221409
hg80755tg1236,AARSD1-CCR7,AARSD1,80755,CCR7,1236
hg80755tg84961,AARSD1-FBXL20,AARSD1,80755,FBXL20,84961
hg132949tg57545,AASDH-CC2D2A,AASDH,132949,CC2D2A,57545
hg132949tg339977,AASDH-LRRC66,AASDH,132949,LRRC66,339977
hg60496tg25841,AASDHPPT-ABTB2,AASDHPPT,60496,ABTB2,25841
hg60496tg114769,AASDHPPT-CARD16,AASDHPPT,60496,CARD16,114769
hg10157tg93664,AASS-CADPS2,AASS,10157,CADPS2,93664
hg10157tg26052,AASS-DNM3,AASS,10157,DNM3,26052
hg26574tg26574,AATF-AATF,AATF,26574,AATF,26574
hg26574tg163,AATF-AP2B1,AATF,26574,AP2B1,163
hg26574tg9570,AATF-GOSR2,AATF,26574,GOSR2,9570
hg26574tg3980,AATF-LIG3,AATF,26574,LIG3,3980
hg26574tg6871,AATF-TADA2A,AATF,26574,TADA2A,6871
hg19tg3778,ABCA1-KCNMA1,ABCA1,19,KCNMA1,3778
hg19tg5878,ABCA1-RAB5C,ABCA1,19,RAB5C,5878
hg19tg158399,ABCA1-ZNF483,ABCA1,19,ZNF483,158399
hg26154tg130367,ABCA12-SGPP2,ABCA12,26154,SGPP2,130367
hg20tg9830,ABCA2-TRIM14,ABCA2,20,TRIM14,9830
hg21tg91419,ABCA3-XRCC6BP1,ABCA3,21,XRCC6BP1,91419
hg23461tg339210,ABCA5-C17orf67,ABCA5,23461,C17orf67,339210
hg10347tg10347,ABCA7-ABCA7,ABCA7,10347,ABCA7,10347
hg10347tg50509,ABCA7-COL5A3,ABCA7,10347,COL5A3,50509
hg10350tg201134,ABCA9-CEP112,ABCA9,10350,CEP112,201134
hg10350tg26115,ABCA9-TANC2,ABCA9,10350,TANC2,26115
hg22tg6451,ABCB7-SH3BGRL,ABCB7,22,SH3BGRL,6451
hg11194tg4846,ABCB8-NOS3,ABCB8,11194,NOS3,4846
hg23457tg1967,ABCB9-EIF2B1,ABCB9,23457,EIF2B1,1967
hg4363tg23787,ABCC1-MTCH1,ABCC1,4363,MTCH1,23787
hg4363tg5579,ABCC1-PRKCB,ABCC1,4363,PRKCB,5579
hg89845tg5528,ABCC10-PPP2R5D,ABCC10,89845,PPP2R5D,5528
hg1244tg29119,ABCC2-CTNNA3,ABCC2,1244,CTNNA3,29119
hg1244tg81619,ABCC2-TSPAN14,ABCC2,1244,TSPAN14,81619
hg8714tg80221,ABCC3-ACSF2,ABCC3,8714,ACSF2,80221
hg8714tg63827,ABCC3-BCAN,ABCC3,8714,BCAN,63827
hg8714tg10983,ABCC3-CCNI,ABCC3,8714,CCNI,10983
hg8714tg27294,ABCC3-DHDH,ABCC3,8714,DHDH,27294
hg8714tg11143,ABCC3-KAT7,ABCC3,8714,KAT7,11143
hg8714tg55379,ABCC3-LRRC59,ABCC3,8714,LRRC59,55379
hg8714tg54868,ABCC3-TMEM104,ABCC3,8714,TMEM104,54868
hg8714tg64132,ABCC3-XYLT2,ABCC3,8714,XYLT2,64132
hg10257tg5244,ABCC4-ABCB4,ABCC4,10257,ABCB4,5244
hg10257tg1284,ABCC4-COL4A2,ABCC4,10257,COL4A2,1284
hg10257tg5095,ABCC4-PCCA,ABCC4,10257,PCCA,5095
hg10257tg55757,ABCC4-UGGT2,ABCC4,10257,UGGT2,55757
hg10257tg65110,ABCC4-UPF3A,ABCC4,10257,UPF3A,65110
hg10057tg23200,ABCC5-ATP11B,ABCC5,10057,ATP11B,23200
hg10057tg8881,ABCC5-CDC16,ABCC5,10057,CDC16,8881
hg10057tg54165,ABCC5-DCUN1D1,ABCC5,10057,DCUN1D1,54165
hg10057tg10985,ABCC5-GCN1L1,ABCC5,10057,GCN1L1,10985
hg10057tg54682,ABCC5-MANSC1,ABCC5,10057,MANSC1,54682
hg10057tg6687,ABCC5-SPG7,ABCC5,10057,SPG7,6687
hg10057tg7045,ABCC5-TGFBI,ABCC5,10057,TGFBI,7045
hg368tg80262,ABCC6-C16orf70,ABCC6,368,C16orf70,80262
hg368tg4048,ABCC6-LTA4H,ABCC6,368,LTA4H,4048
hg5825tg26289,ABCD3-AK5,ABCD3,5825,AK5,26289
hg5825tg1806,ABCD3-DPYD,ABCD3,5825,DPYD,1806
hg5825tg60412,ABCD3-EXOC4,ABCD3,5825,EXOC4,60412
hg23tg80742,ABCF1-PRR3,ABCF1,23,PRR3,80742
hg23tg25759,ABCF1-SHC2,ABCF1,23,SHC2,25759
hg55324tg55689,ABCF3-YEATS2,ABCF3,55324,YEATS2,55689
hg9619tg25825,ABCG1-BACE2,ABCG1,9619,BACE2,25825
hg26090tg9837,ABHD12-GINS1,ABHD12,26090,GINS1,9837
hg26090tg55614,ABHD12-KIF16B,ABHD12,26090,KIF16B,55614
hg26090tg23386,ABHD12-NUDCD3,ABHD12,26090,NUDCD3,23386
hg26090tg5520,ABHD12-PPP2R2A,ABHD12,26090,PPP2R2A,5520
hg84836tg25886,ABHD14B-POC1A,ABHD14B,84836,POC1A,25886
hg7920tg1192,ABHD16A-CLIC1,ABHD16A,7920,CLIC1,1192
hg7920tg259215,ABHD16A-LY6G6F,ABHD16A,7920,LY6G6F,259215
hg7920tg7407,ABHD16A-VARS,ABHD16A,7920,VARS,7407
hg81926tg8943,ABHD17A-AP3D1,ABHD17A,81926,AP3D1,8943
hg81926tg4701,ABHD17A-NDUFA7,ABHD17A,81926,NDUFA7,4701
hg81926tg6929,ABHD17A-TCF3,ABHD17A,81926,TCF3,6929
hg58489tg79365,ABHD17C-BHLHE41,ABHD17C,58489,BHLHE41,79365
hg58489tg49855,ABHD17C-SCAPER,ABHD17C,58489,SCAPER,49855
hg11057tg176,ABHD2-ACAN,ABHD2,11057,ACAN,176
hg11057tg57448,ABHD2-BIRC6,ABHD2,11057,BIRC6,57448
hg79575tg80895,ABHD8-ILKAP,ABHD8,79575,ILKAP,80895
hg10006tg79789,ABI1-CLMN,ABI1,10006,CLMN,79789
hg10006tg125228,ABI1-FAM210A,ABI1,10006,FAM210A,125228
hg10006tg2665,ABI1-GDI2,ABI1,10006,GDI2,2665
hg10006tg4297,ABI1-KMT2A,ABI1,10006,KMT2A,4297
hg10152tg79800,ABI2-CARF,ABI2,10152,CARF,79800
hg10152tg5119,ABI2-CHMP1A,ABI2,10152,CHMP1A,5119
hg10152tg57404,ABI2-CYP20A1,ABI2,10152,CYP20A1,57404
hg10152tg1730,ABI2-DIAPH2,ABI2,10152,DIAPH2,1730
hg10152tg4300,ABI2-MLLT3,ABI2,10152,MLLT3,4300
hg25890tg400818,ABI3BP-NBPF9,ABI3BP,25890,NBPF9,400818
hg25890tg10342,ABI3BP-TFG,ABI3BP,25890,TFG,10342
hg25tg4915,ABL1-NTRK2,ABL1,25,NTRK2,4915
hg25tg124565,ABL1-SLC38A10,ABL1,25,SLC38A10,124565
hg27tg3756,ABL2-KCNH1,ABL2,27,KCNH1,3756
hg27tg143570,ABL2-XRRA1,ABL2,27,XRRA1,143570
hg3983tg55216,ABLIM1-C11orf57,ABLIM1,3983,C11orf57,55216
hg3983tg92565,ABLIM1-FANK1,ABLIM1,3983,FANK1,92565
hg84448tg5522,ABLIM2-PPP2R2C,ABLIM2,84448,PPP2R2C,5522
hg22885tg566,ABLIM3-AZU1,ABLIM3,22885,AZU1,566
hg29tg29,ABR-ABR,ABR,29,ABR,29
hg29tg575,ABR-BAI1,ABR,29,BAI1,575
hg29tg1398,ABR-CRK,ABR,29,CRK,1398
hg29tg11325,ABR-DDX42,ABR,29,DDX42,11325
hg29tg359845,ABR-FAM101B,ABR,29,FAM101B,359845
hg29tg50628,ABR-GEMIN4,ABR,29,GEMIN4,50628
hg29tg4125,ABR-MAN2B1,ABR,29,MAN2B1,4125
hg29tg4641,ABR-MYO1C,ABR,29,MYO1C,4641
hg29tg64359,ABR-NXN,ABR,29,NXN,64359
hg29tg5306,ABR-PITPNA,ABR,29,PITPNA,5306
hg29tg54776,ABR-PPP1R12C,ABR,29,PPP1R12C,54776
hg29tg146760,ABR-RTN4RL1,ABR,29,RTN4RL1,146760
hg29tg55776,ABR-SAYSD1,ABR,29,SAYSD1,55776
hg29tg23293,ABR-SMG6,ABR,29,SMG6,23293
hg29tg7531,ABR-YWHAE,ABR,29,YWHAE,7531
hg58527tg64065,ABRACL-PERP,ABRACL,58527,PERP,64065
hg29777tg8666,ABT1-EIF3G,ABT1,29777,EIF3G,8666
hg25841tg51074,ABTB2-APIP,ABTB2,25841,APIP,51074
hg25841tg4287,ABTB2-ATXN3,ABTB2,25841,ATXN3,4287
hg25841tg4707,ABTB2-NDUFB1,ABTB2,25841,NDUFB1,4707
hg25841tg7299,ABTB2-TYR,ABTB2,25841,TYR,7299
hg31tg26574,ACACA-AATF,ACACA,31,AATF,26574
hg31tg8754,ACACA-ADAM9,ACACA,31,ADAM9,8754
hg31tg284099,ACACA-C17orf78,ACACA,31,C17orf78,284099
hg31tg6352,ACACA-CCL5,ACACA,31,CCL5,6352
hg31tg1528,ACACA-CYB5A,ACACA,31,CYB5A,1528
hg31tg84923,ACACA-FAM104A,ACACA,31,FAM104A,84923
hg31tg79893,ACACA-GGNBP2,ACACA,31,GGNBP2,79893
hg31tg144321,ACACA-GLIPR1L2,ACACA,31,GLIPR1L2,144321
hg31tg55876,ACACA-GSDMB,ACACA,31,GSDMB,55876
hg31tg203100,ACACA-HTRA4,ACACA,31,HTRA4,203100
hg31tg3927,ACACA-LASP1,ACACA,31,LASP1,3927
hg31tg3965,ACACA-LGALS9,ACACA,31,LGALS9,3965
hg31tg9862,ACACA-MED24,ACACA,31,MED24,9862
hg31tg79148,ACACA-MMP28,ACACA,31,MMP28,79148
hg31tg22843,ACACA-PPM1E,ACACA,31,PPM1E,22843
hg31tg5636,ACACA-PRPSAP2,ACACA,31,PRPSAP2,5636
hg31tg80725,ACACA-SRCIN1,ACACA,31,SRCIN1,80725
hg31tg85464,ACACA-SSH2,ACACA,31,SSH2,85464
hg31tg342667,ACACA-STAC2,ACACA,31,STAC2,342667
hg31tg26115,ACACA-TANC2,ACACA,31,TANC2,26115
hg32tg92979,ACACB-MARCH9,ACACB,32,MARCH9,92979
hg32tg7374,ACACB-UNG,ACACB,32,UNG,7374
hg176tg176,ACAN-ACAN,ACAN,176,ACAN,176
hg176tg8736,ACAN-MYOM1,ACAN,176,MYOM1,8736
hg23527tg347,ACAP2-APOD,ACAP2,23527,APOD,347
hg23527tg79572,ACAP2-ATP13A3,ACAP2,23527,ATP13A3,79572
hg23527tg805,ACAP2-CALM2,ACAP2,23527,CALM2,805
