gene_mapping_id,gene_id
0,1
1,2
2,9
3,10
4,12
5,14
6,15
7,16
8,18
9,19
10,20
11,22
12,23
13,24
14,25
15,26
16,27
17,28
18,29
19,30
20,31
21,32
22,34
23,35
24,36
25,37
26,38
27,39
28,40
29,41
30,43
31,47
32,48
33,49
34,50
35,51
36,52
37,53
38,54
39,55
40,58
41,59
42,60
43,70
44,71
45,72
46,81
47,86
48,87
49,88
50,89
51,90
52,91
53,92
54,93
55,94
56,95
57,97
58,98
59,100
60,102
61,103
62,105
63,107
64,108
65,109
66,111
67,112
68,113
69,114
70,115
71,116
72,117
73,118
74,119
75,120
76,123
77,124
78,125
79,126
80,127
81,128
82,130
83,131
84,133
85,134
86,135
87,136
88,141
89,142
90,143
91,146
92,147
93,148
94,150
95,151
96,152
97,153
98,154
99,155
100,156
101,157
102,158
103,159
104,160
105,161
106,162
107,163
108,164
109,165
110,166
111,172
112,174
113,175
114,176
115,177
116,178
117,181
118,182
119,183
120,185
121,186
122,187
123,189
124,190
125,191
126,196
127,197
128,199
129,202
130,203
131,204
132,205
133,207
134,208
135,210
136,211
137,212
138,213
139,214
140,215
141,216
142,217
143,218
144,219
145,220
146,221
147,222
148,223
149,224
150,225
151,226
152,229
153,230
154,231
155,238
156,239
157,240
158,241
159,242
160,246
161,248
162,249
163,250
164,251
165,259
166,262
167,265
168,267
169,268
170,269
171,270
172,271
173,272
174,273
175,274
176,275
177,276
178,277
179,278
180,279
181,280
182,283
183,284
184,285
185,286
186,287
187,288
188,290
189,291
190,292
191,293
192,301
193,302
194,306
195,307
196,308
197,309
198,310
199,311
200,312
201,313
202,314
203,316
204,317
205,318
206,319
207,320
208,321
209,322
210,323
211,324
212,325
213,326
214,327
215,328
216,329
217,330
218,331
219,332
220,333
221,334
222,335
223,336
224,337
225,338
226,339
227,341
228,344
229,345
230,347
231,348
232,350
233,351
234,353
235,354
236,355
237,356
238,357
239,358
240,359
241,360
242,361
243,362
244,366
245,367
246,369
247,372
248,373
249,374
250,375
251,377
252,378
253,379
254,381
255,382
256,383
257,384
258,387
259,388
260,389
261,390
262,391
263,392
264,393
265,394
266,396
267,397
268,398
269,399
270,400
271,401
272,402
273,403
274,405
275,406
276,407
277,408
278,409
279,410
280,411
281,412
282,415
283,417
284,421
285,427
286,429
287,430
288,432
289,433
290,434
291,435
292,438
293,439
294,440
295,443
296,444
297,445
298,462
299,463
300,466
301,467
302,468
303,471
304,472
305,473
306,474
307,475
308,476
309,477
310,478
311,479
312,481
313,482
314,483
315,486
316,487
317,488
318,489
319,490
320,491
321,493
322,496
323,498
324,501
325,506
326,509
327,513
328,514
329,515
330,516
331,518
332,521
333,522
334,523
335,525
336,526
337,527
338,528
339,529
340,534
341,535
342,537
343,538
344,539
345,540
346,545
347,546
348,547
349,549
350,550
351,551
352,552
353,553
354,554
355,558
356,563
357,566
358,567
359,570
360,571
361,572
362,573
363,575
364,576
365,577
366,578
367,579
368,580
369,581
370,582
371,583
372,585
373,586
374,587
375,590
376,593
377,594
378,595
379,596
380,597
381,598
382,599
383,602
384,604
385,605
386,607
387,608
388,610
389,613
390,617
391,622
392,623
393,624
394,627
395,629
396,631
397,632
398,633
399,634
400,635
401,636
402,637
403,638
404,639
405,640
406,641
407,642
408,643
409,644
410,645
411,646
412,648
413,649
414,650
415,651
416,652
417,653
418,654
419,655
420,656
421,657
422,658
423,659
424,660
425,661
426,662
427,663
428,664
429,665
430,666
431,667
432,668
433,669
434,671
435,672
436,673
437,675
438,676
439,677
440,678
441,682
442,683
443,685
444,686
445,687
446,688
447,689
448,694
449,695
450,696
451,699
452,701
453,705
454,706
455,708
456,710
457,712
458,713
459,714
460,715
461,716
462,717
463,718
464,719
465,720
466,721
467,722
468,725
469,726
470,727
471,728
472,729
473,730
474,731
475,732
476,733
477,735
478,738
479,740
480,744
481,752
482,754
483,755
484,758
485,759
486,760
487,761
488,762
489,765
490,767
491,768
492,770
493,771
494,773
495,774
496,775
497,776
498,777
499,778
500,779
501,780
502,782
503,783
504,784
505,785
506,786
507,788
508,790
509,793
510,794
511,796
512,799
513,800
514,801
515,805
516,808
517,810
518,811
519,813
520,814
521,815
522,816
523,817
524,818
525,819
526,820
527,821
528,822
529,823
530,824
531,825
532,826
533,827
534,829
535,830
536,831
537,832
538,833
539,834
540,835
541,836
542,837
543,838
544,839
545,840
546,841
547,842
548,843
549,844
550,845
551,846
552,847
553,857
554,858
555,859
556,860
557,861
558,862
559,863
560,864
561,865
562,867
563,868
564,869
565,871
566,873
567,874
568,875
569,881
570,883
571,885
572,886
573,887
574,889
575,890
576,891
577,892
578,894
579,896
580,898
581,899
582,900
583,901
584,902
585,904
586,905
587,908
588,909
589,910
590,912
591,913
592,914
593,915
594,916
595,917
596,919
597,920
598,921
599,922
600,923
601,924
602,925
603,926
604,928
605,929
606,930
607,931
608,932
609,933
610,934
611,939
612,940
613,941
614,942
615,943
616,944
617,945
618,946
619,947
620,948
621,949
622,950
623,952
624,953
625,954
626,955
627,956
628,957
629,958
630,959
631,960
632,961
633,962
634,963
635,965
636,966
637,967
638,969
639,970
640,971
641,972
642,973
643,974
644,975
645,976
646,977
647,978
648,983
649,984
650,985
651,987
652,988
653,989
654,990
655,991
656,993
657,994
658,995
659,996
660,997
661,998
662,999
663,1000
664,1001
665,1002
666,1003
667,1004
668,1005
669,1006
670,1007
671,1008
672,1009
673,1010
674,1012
675,1013
676,1014
677,1015
678,1016
679,1017
680,1018
681,1019
682,1020
683,1021
684,1022
685,1024
686,1025
687,1026
688,1027
689,1028
690,1029
691,1030
692,1031
693,1032
694,1033
695,1036
696,1038
697,1039
698,1040
699,1041
700,1044
701,1045
702,1046
703,1047
704,1048
705,1050
706,1051
707,1052
708,1053
709,1054
710,1056
711,1058
712,1059
713,1060
714,1062
715,1063
716,1066
717,1068
718,1069
719,1070
720,1071
721,1072
722,1073
723,1075
724,1080
725,1081
726,1082
727,1084
728,1088
729,1101
730,1102
731,1103
732,1104
733,1105
734,1106
735,1107
736,1108
737,1109
738,1111
739,1112
740,1113
741,1114
742,1116
743,1118
744,1119
745,1120
746,1121
747,1122
748,1123
749,1124
750,1128
751,1129
752,1130
753,1131
754,1132
755,1133
756,1134
757,1135
758,1136
759,1137
760,1138
761,1139
762,1140
763,1141
764,1143
765,1144
766,1145
767,1146
768,1147
769,1149
770,1152
771,1153
772,1154
773,1155
774,1158
775,1159
776,1160
777,1161
778,1163
779,1164
780,1173
781,1174
782,1175
783,1176
784,1178
785,1179
786,1180
787,1182
788,1183
789,1184
790,1186
791,1187
792,1191
793,1192
794,1193
795,1195
796,1196
797,1198
798,1200
799,1201
800,1203
801,1207
802,1208
803,1211
804,1212
805,1213
806,1215
807,1230
808,1231
809,1232
810,1233
811,1234
812,1235
813,1236
814,1237
815,1238
816,1241
817,1244
818,1258
819,1259
820,1260
821,1261
822,1263
823,1264
824,1265
825,1266
826,1267
827,1268
828,1269
829,1270
830,1271
831,1272
832,1277
833,1278
834,1280
835,1281
836,1282
837,1284
838,1285
839,1286
840,1287
841,1288
842,1289
843,1290
844,1291
845,1292
846,1293
847,1294
848,1295
849,1296
850,1297
851,1298
852,1299
853,1300
854,1301
855,1302
856,1303
857,1305
858,1307
859,1308
860,1311
861,1312
862,1313
863,1314
864,1315
865,1316
866,1317
867,1318
868,1325
869,1326
870,1327
871,1329
872,1337
873,1339
874,1340
875,1345
876,1346
877,1347
878,1349
879,1350
880,1351
881,1355
882,1356
883,1357
884,1360
885,1361
886,1363
887,1364
888,1365
889,1366
890,1368
891,1369
892,1370
893,1371
894,1373
895,1374
896,1375
897,1378
898,1380
899,1381
900,1382
901,1384
